Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,ChainId,Chain,Value(ETH)
0x3974fc00514ed7eaa8e8d0af36905bbc246439dbcb77e03537050b165ecc263e,45516568,1756713296,2025-09-01T07:54:56.000Z,0x068E391D5d73B5AF5EbeAF40cAe725f59d354c1A,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,149606,0,0,true,,0x3072c555,43113,C-Chain Fuji,0
0xd6f14cb53c39d02c54506fc7ca6fdb1b4692c620108a8ec55eec213c36147fc1,45338162,1756365980,2025-08-28T07:26:20.000Z,0x2b373281b278e50847d5aE5b0E176fdEC36338F0,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0xf25ae63b6a1386215446506017893d1aa710b9aa2256a84279173a9c4c21fac3,45338095,1756365887,2025-08-28T07:24:47.000Z,0x2b373281b278e50847d5aE5b0E176fdEC36338F0,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,149702,0,0,true,,0x3072c555,43113,C-Chain Fuji,0
0xda0ef30e801ee17d38d2da130870da4991d99400e6209dd022f85b46f189c879,45181684,1756052035,2025-08-24T16:13:55.000Z,0xa4EC88F5bbA5Bd13E59D9B7bDa54bF0c2a6FCe04,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,50000000000000,0,0,202068,0,0,true,,MakePayment,43113,C-Chain Fuji,0
0x41f348ab5ec3aadc6faf358581e7c38d19308186a1d56a5408471cb1b6cf1833,45181667,1756052009,2025-08-24T16:13:29.000Z,0xa4EC88F5bbA5Bd13E59D9B7bDa54bF0c2a6FCe04,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,215874,0,0,true,,0xef69046f,43113,C-Chain Fuji,0
0xd3f924baed545f73b9df062f728d0253db6cafb24d1d669f8cc40328e27a0364,45181613,1756051911,2025-08-24T16:11:51.000Z,0xA8954CCd3C8B0533c3c7edAC5D94B53CB5F766ce,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0xe34d54ea79cd91c69a582a3a7c6b15fd1ad7ea1481764a79c7f5556a0566e656,45181000,1756050809,2025-08-24T15:53:29.000Z,0x2de9B4D615f10339CA098a1c568B13d4D122D74E,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
0xefd35d661323beff854fc9919e4050211728258259931e6a91d3d104975dedef,45180782,1756050413,2025-08-24T15:46:53.000Z,0xa4EC88F5bbA5Bd13E59D9B7bDa54bF0c2a6FCe04,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,50000000000000,0,0,202068,0,0,true,,MakePayment,43113,C-Chain Fuji,0
0x28cd10f78e9eab2b6cc9fec28a65050c4d4088230712a31a8fcb62253a5b0fa8,45180764,1756050379,2025-08-24T15:46:19.000Z,0xa4EC88F5bbA5Bd13E59D9B7bDa54bF0c2a6FCe04,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,215874,0,0,true,,0xef69046f,43113,C-Chain Fuji,0
0x3d2cb69646a409b316f2eb6a829830a7e269c99ea544b3ebebeebbd8f75909f6,45180704,1756050265,2025-08-24T15:44:25.000Z,0x2de9B4D615f10339CA098a1c568B13d4D122D74E,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0x4e993240dd1004d6e5f991ee0017e1C284148FDF,0,0,0,183652,0,0,true,,0x5701f2c7,43113,C-Chain Fuji,0
